Content,proba,result,CurElementMark,SpecialSymbolsCount,WordsCount,SymbolCount,Lowercase,Uppercase,LastSymbolPd,FirstKeyWord,FullBold,FullItalic,Alignment,KeepLinesTogether,KeepWithNext,LeftIndentation,LineSpacing,NoSpaceBetweenParagraphsOfSameStyle,OutlineLevel,PageBreakBefore,RightIndentation,SpaceAfter,SpaceBefore,SpecialIndentation,FirstKeyWord_missed,LastSymbolPd_missed
РЕФЕРАТ,0.9096139829556572,*,b1,0,1.0,7.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,-35,True,True
СОДЕРЖАНИЕ,0.9072317725777176,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,-35,True,True
ВВЕДЕНИЕ,0.9072317725777176,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,-35,True,True
СОДЕРЖАНИЕ,0.9855462554608235,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
СПИСОК СОКРАЩЕНИЙ И УСЛОВНЫХ ОБОЗНАЧЕНИЙ,0.9528682385343403,*,b1,0,5.0,40.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
ТЕРМИНЫ И ОПРЕДЕЛЕНИЯ,0.9738493377715809,*,b1,0,3.0,21.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
ВВЕДЕНИЕ,0.9855462554608235,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
package main,0.912556231673924,-,b1,0,2.0,12.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
"""fmt""",0.9010461359554561,-,b1,1,1.0,5.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return,0.9433726035286666,-,b1,0,1.0,6.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return &task,0.912556231673924,-,b1,0,2.0,12.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return nil,0.9343278802308035,-,b1,0,2.0,10.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
package main,0.912556231673924,-,b1,0,2.0,12.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
"""fmt""",0.9010461359554561,-,b1,1,1.0,5.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
"""log""",0.9010461359554561,-,b1,1,1.0,5.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
"""os""",0.9010461359554561,-,b1,1,1.0,4.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return,0.9433726035286666,-,b1,0,1.0,6.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return,0.9433726035286666,-,b1,0,1.0,6.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return nil,0.9343278802308035,-,b1,0,2.0,10.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
return nil,0.9343278802308035,-,b1,0,2.0,10.0,False,True,.,listLevel1,True,False,Left,False,False,0,14.25,False,BodyText,False,0,0,0,0,True,True
ЗАКЛЮЧЕНИЕ,0.9855462554608235,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.971501278457486,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
"о практике производственной, научно-исследовательской",0.9252875443748996,-,b1,2,4.0,53.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
о научно-исследовательской работе,0.9583998925580212,-,b1,1,3.0,33.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
разработка его программы,0.9296589767009567,-,b1,0,3.0,24.0,False,True,.,listLevel1,True,False,Justify,False,False,0,1.15,False,BodyText,False,0,0,0,0,True,True
РЕФЕРАТ,0.9852302239413442,*,b1,0,1.0,7.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
СОДЕРЖАНИЕ,0.9855462554608235,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
ВВЕДЕНИЕ,0.9855462554608235,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
заключение,0.9992242680282384,*,b1,0,1.0,10.0,False,True,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.971501278457486,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
по научно-исследовательской работе,0.9583998925580212,-,b1,1,3.0,34.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
(Университет ИТМО),0.9124418091084371,-,b1,2,2.0,18.0,False,False,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0,0,-35.45,True,True
СОДЕРЖАНИЕ,0.9489379450511364,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0,0,-35.45,True,True
научно-исследовательской работе,0.9461211982820128,-,b1,1,2.0,31.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
"о практике производственной, научно-исследовательской",0.9252875443748996,-,b1,2,4.0,53.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
ВВЕДЕНИЕ,0.9816599507264819,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
ЗАКЛЮЧЕНИЕ,0.9816599507264819,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9639504943131544,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,0,0,True,True
"о практике производственной, научно-исследовательской",0.9252875443748996,-,b1,2,4.0,53.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
ВВЕДЕНИЕ,0.9072317725777176,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,0,True,True
ЗАКЛЮЧЕНИЕ,0.9072317725777176,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,0,True,True
разработка его программы,0.9296589767009567,-,b1,0,3.0,24.0,False,True,.,listLevel1,True,False,Justify,False,False,0,1.15,False,BodyText,False,0,0,0,0,True,True
ВВЕДЕНИЕ,0.9593807352732946,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6,24,0,True,True
ЗАКЛЮЧЕНИЕ,0.9593807352732946,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6,24,0,True,True
СПИСОК ИСПОЛЬЗОВАННЫХ ИСТОЧНИКОВ,0.9279923425486426,*,b1,0,3.0,32.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6,24,0,True,True
федеральное государственное автономное образовательное учреждение высшего образования,0.9870576870127579,-,b1,0,7.0,85.0,False,True,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0,0,-35.45,True,True
(Университет ИТМО),0.9124418091084371,-,b1,2,2.0,18.0,False,False,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0,0,-35.45,True,True
СОДЕРЖАНИЕ,0.9489379450511364,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,False,False,0,1.5,False,BodyText,False,0,0,0,-35.45,True,True
ВВЕДЕНИЕ,0.9835627823706709,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,12,0,True,True
ЗАКЛЮЧЕНИЕ,0.9835627823706709,*,b1,0,1.0,10.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,0,12,0,True,True
о практике научно-исследовательской,0.9554030102196014,-,b1,1,3.0,35.0,False,True,.,listLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0,0,-35.65,True,True
РЕФЕРАТ,0.9096139829556572,*,b1,0,1.0,7.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,0,True,True
ВВЕДЕНИЕ,0.9072317725777176,*,b1,0,1.0,8.0,True,False,.,listLevel1,True,False,Center,True,True,0,1.5,False,BodyText,False,0,0,0,0,True,True
1 ОСНОВНЫЕ ПОЛОЖЕНИЯ ПРАКТИКИ,0.5432097821841462,*,b1,0,4.0,29.0,True,False,.,TitleLevel1,True,False,Left,True,True,35.25,1.5,False,BodyText,True,0.0,0.0,0.0,0,False,True
2 ОПИСАНИЕ КРИТЕРИЕВ,0.5187127460743909,*,b1,0,3.0,20.0,True,False,.,TitleLevel1,True,False,Left,True,True,35.25,1.5,False,BodyText,True,0.0,0.0,0.0,0,False,True
3 АНАЛИЗ ИССЛЕДОВАНИЙ,0.5187127460743909,*,b1,0,3.0,21.0,True,False,.,TitleLevel1,True,False,Left,True,True,35.25,1.5,False,BodyText,True,0.0,0.0,0.0,0,False,True
4 ПЛАНИРОВАНИЕ МАГИСТЕРСКОГО ИССЛЕДОВАНИЯ,0.5338796981653174,*,b1,0,4.0,41.0,True,False,.,TitleLevel1,True,False,Left,True,True,35.25,1.5,False,BodyText,True,0.0,0.0,0.0,0,False,True
1 Направление исследования,0.804098766184961,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Left,True,True,36,1.15,False,BodyText,False,0,6.0,8.0,35.4,False,True
2 Источники информации по теме исследования,0.7939845717901877,*,b1,0,6.0,43.0,False,False,.,TitleLevel1,True,False,Left,True,True,35.4,1.15,False,BodyText,False,0,6.0,8.0,-35.4,False,True
3 Определение методологии исследования,0.7930927717823978,*,b1,0,4.0,38.0,False,False,.,TitleLevel1,True,False,Left,True,True,35.4,1.15,False,BodyText,False,0,6.0,8.0,-35.4,False,True
4 Требования к приложению,0.8043403093047098,*,b1,0,4.0,25.0,False,False,.,TitleLevel1,True,False,Left,True,True,35.4,1.15,False,BodyText,False,0,6.0,8.0,-35.4,False,True
2024 г.,0.2456785630435147,-,b1,1,2.0,7.0,False,True,.,TitleLevel1,False,False,Center,False,False,0,1,False,BodyText,False,-0.65,10.0,0.0,0,False,False
1 ОСНОВНАЯ КОНЦЕПЦИЯ РЕАЛИЗУЕМОГО ПРОГРАММНО-АППАРАТНОГО КОМПЛЕКСА,0.2934303736006159,*,b1,1,6.0,66.0,True,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.45,False,True
2 МЕТОДЫ ПРОЕКТИРОВАНИЯ АРХИТЕКТУРЫ ОБЛАЧНОГО СЕРВИСА,0.41001678939595326,*,b1,0,6.0,53.0,True,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.45,False,True
3 АНАЛИЗ ИНСТРУМЕНТОВ И МЕТОДОВ ДЛЯ РЕАЛИЗАЦИИ АНАЛИТИЧЕСКОЙ МОДЕЛИ И ИССЛЕДОВАНИЯ ДАННЫХ,0.3277273664179494,*,b1,0,12.0,89.0,True,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.45,False,True
2024,0.7942423748761289,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,True,False,Center,False,False,0,1.15,False,BodyText,False,0.25,0.0,0.0,0,False,True
1 Направление исследования,0.6118840304254312,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,False,False,Left,True,True,0,1.5,False,BodyText,False,0.25,6.0,0.0,-36,False,True
2 Анализ технологических решений,0.8163735541447398,*,b1,0,4.0,32.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.5,False,BodyText,False,0.25,6.0,0.0,-36,False,True
3 Описание исследования,0.7986287983919178,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.5,False,BodyText,False,0.25,0.0,0.0,-36,False,True
2024,0.7877705398886997,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,True,False,Center,False,False,-22.5,1.5,False,BodyText,False,0,8.0,0.0,18,False,True
1 Направление исследования,0.7265653974546323,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.45,False,True
2 Источники информации по теме исследования,0.7258326591315668,*,b1,0,6.0,43.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.45,False,True
3 Описание исследования,0.5586856807555949,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,0.0,0.0,-35.25,False,True
2024,0.8753792079147449,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,True,False,Center,False,False,0,1,True,BodyText,False,0,0.0,0.0,-35.45,False,True
1 Направление исследования,0.7967744933894353,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,False,0.25,0.0,0.0,-35.4,False,True
2 Источники информации по теме исследования,0.8053501550105141,*,b1,0,6.0,43.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,False,0.25,0.0,0.0,-35.4,False,True
3 Описание программы исследования,0.8054108666211989,*,b1,0,4.0,33.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,False,0.25,0.0,0.0,-35.4,False,True
4 Программа исследования,0.7863793324136181,*,b1,0,3.0,24.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,False,0.25,0.0,0.0,-35.4,False,True
1 Направление исследования,0.9792701621912899,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.15,False,Level1,False,0,0.0,12.0,-35.45,False,True
2 Анализ источников информации по теме исследования,0.977613965057496,*,b1,0,7.0,51.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.15,False,Level1,False,0,0.0,12.0,-35.45,False,True
3 Описание исследования,0.9779328622771047,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.15,False,Level1,False,0,0.0,12.0,-35.45,False,True
1 Задачи,0.970428276552312,*,b1,0,2.0,8.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
2 Изучение существующей информационной системы,0.940400711999741,*,b1,0,5.0,46.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
3 Общее описание системы,0.878129751649694,*,b1,0,4.0,24.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
4 Формирование требований,0.8788864666850785,*,b1,0,3.0,25.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
5 Описание новизны и значимости предполагаемых результатов работы,0.8620072064696502,*,b1,0,8.0,65.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
"6 Описание методов исследования, которые предполагается использовать в ходе исследования",0.8107411893480873,*,b1,1,10.0,88.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.45,False,True
"7 Описание, как будет доказываться степень достоверности полученных результатов",0.6483038333467798,*,b1,1,9.0,79.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.4,False,True
8 Разработка плана исследования,0.9538332343692049,*,b1,0,4.0,31.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,Level1,True,0,0.0,0.0,-35.45,False,True
1 Направление исследования,0.5736393380659849,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,10.0,0.0,-45,False,True
2 Источники информации по теме исследования,0.5695966271204571,*,b1,0,6.0,43.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,10.0,0.0,-45,False,True
3 Описание исследования,0.5586856807555949,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,BodyText,False,0,10.0,0.0,-45,False,True
2024,0.42511302950610286,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,False,False,Center,False,False,0,1,False,BodyText,False,0,0.0,0,0,False,True
1 Обзор литературы,0.7513446751589192,*,b1,0,3.0,18.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,Level1,False,0,6.0,2.95,-35.4,False,True
2 Описание исследования,0.743237847278498,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,Level1,False,0,6.0,2.95,-35.4,False,True
3 Выбор инструментов для сбора данных,0.8897476968743826,*,b1,0,6.0,37.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0,1.5,False,Level1,False,0,6.0,2.95,-35.45,False,True
4 План исследования,0.5506822667358201,*,b1,0,3.0,19.0,False,False,.,TitleLevel1,True,False,Justify,False,False,0.05,1.5,False,Level1,False,0,6.0,2.95,-35.4,False,True
1 Направление исследования,0.6469670239523188,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.4,False,True
2 Источники информации по теме исследования,0.6272685044251803,*,b1,0,6.0,43.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.4,False,True
3 Описание исследования,0.6427074208228181,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.4,False,True
1 Анализ текущего состояния российского рынка труда в сфере информационных технологий,0.6981172561619561,*,b1,0,11.0,85.0,False,False,.,TitleLevel1,True,False,Justify,False,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
2 Существующие методы и инструменты для оптимизации процесса найма в сфере информационных технологий,0.6680120654225945,*,b1,0,13.0,100.0,False,False,.,TitleLevel1,True,False,Justify,False,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
3 Формулирование темы исследования на основании анализа предметной области,0.6553237598033151,*,b1,0,9.0,74.0,False,False,.,TitleLevel1,True,False,Justify,False,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
2023,0.3739562428042703,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,False,False,Center,False,False,30.25,1.07916666666667,False,BodyText,False,30.25,8.0,7.1,0,False,True
1 Обзор предметной области,0.776539857266485,*,b1,0,4.0,26.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
2 Методы построения прогнозов с использованием временных рядов,0.7296361434368449,*,b1,0,8.0,62.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
3 Сбор данных,0.7870711596760236,*,b1,0,3.0,13.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.45,False,True
2024,0.42511302950610286,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,False,False,Center,False,False,0,1,False,BodyText,False,0,0.0,0,0,False,True
1 Анализ предметной области,0.9272144388183906,*,b1,0,4.0,27.0,False,False,.,TitleLevel1,True,False,Left,False,False,0,1.5,False,Level1,False,0,0.0,3.7,-35.45,False,True
2 Проектирование системы,0.9211071678025601,*,b1,0,3.0,24.0,False,False,.,TitleLevel1,True,False,Left,False,False,0,1.5,False,Level1,False,0,0.0,3.7,-35.45,False,True
3 Разработка,0.9352005797481598,*,b1,0,2.0,12.0,False,False,.,TitleLevel1,True,False,Left,False,False,0,1.5,False,Level1,False,0,0.0,3.7,-35.45,False,True
2024,0.8219649158281824,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,True,False,Center,False,False,0,1,False,BodyText,False,0,0.0,0,0,False,True
1 Направление исследования,0.6469670239523188,*,b1,0,3.0,26.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.4,False,True
2 Поиск и анализ мобильных приложение и тематических сервисов,0.6141056425657787,*,b1,0,9.0,61.0,False,False,.,TitleLevel1,True,False,Justify,True,True,0,1.5,False,BodyText,False,0,0.0,0,-35.4,False,True
3 Описание исследования,0.6263404421912024,*,b1,0,3.0,23.0,False,False,.,TitleLevel1,True,False,Justify,True,True,35.4,1.5,False,BodyText,False,0,0.0,0,0,False,True
1 НАПРАВЛЕНИЯ ИССЛЕДОВАНИЯ,0.8703029184710629,*,b1,0,3.0,26.0,True,False,.,TitleLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,0,0,False,True
2 ОПИСАНИЕ ИССЛЕДОВАНИЯ,0.8687862443988696,*,b1,0,3.0,23.0,True,False,.,TitleLevel1,True,False,Center,True,True,0,1.5,False,Level1,False,0,6.0,0,0,False,True
2024,0.6631006216211293,-,b1,0,1.0,4.0,True,True,.,TitleLevel1,False,False,Center,False,False,0,1,False,BodyText,False,0,0,0,0,False,True
1 Анализ предметной области,0.9674370488922718,*,b1,0,4.0,27.0,False,False,.,TitleLevel1,True,False,Left,True,True,0,1.5,False,Level1,False,0,6,24,-35.45,False,True
